Theodor-Heuss-Straße | from 21509749 → 265590631
Viehweide | from 1558545590 → 1558545750
Knorrstraße | from 21725720 → 1305814642
Knorrstraße | from 21725720 → 30040057
Besigheimer Straße | from 21725720 → 24950703
Rosenbergstraße | from 21725720 → 1561711680
Knorrstraße | from 1305814642 → 21725720
Werderstraße | from 1305814642 → 1305814520
Knorrstraße | from 1305814642 → 773963957
Knorrstraße | from 30040057 → 21725720
['Neckarhalde', 'Knorrstraße'] | from 30040057 → 245964069
Schoettlestraße | from 30040057 → 1304947201
Besigheimer Straße | from 24950703 → 343780224
Liebigstraße | from 24950703 → 24952646
Besigheimer Straße | from 24950703 → 21725720
Liebigstraße | from 24950703 → 773963976
Rosenbergstraße | from 1561711680 → 21725720
Rosenbergstraße | from 1561711680 → 335768109
Schoettlestraße | from 1561711680 → 334480255
Sontheimer Straße | from 21725730 → 29086600
Sontheimer Straße | from 21725730 → 1316176292
Sontheimer Straße | from 29086600 → 30898902
Merkurstraße | from 29086600 → 29709287
Sontheimer Straße | from 29086600 → 21725730
Sontheimer Straße | from 1316176292 → 636998483
Besigheimer Straße | from 1316176292 → 1316176332
Sontheimer Straße | from 1316176292 → 21725730
Leiblstraße | from 21725779 → 21725780
Leiblstraße | from 21725779 → 25284499
Pilgramstraße | from 21725779 → 1390735889
Menzelstraße | from 21725780 → 1397560973
Leiblstraße | from 21725780 → 339223284
Leiblstraße | from 21725780 → 21725779
Leiblstraße | from 25284499 → 21725779
Leiblstraße | from 25284499 → 1390736010
Rethelstraße | from 25284499 → 1397560920
Kreuzäckerstraße | from 1390735889 → 1561711566
Pilgramstraße | from 1390735889 → 1390735986
Pilgramstraße | from 1390735889 → 21725779
Kreuzäckerstraße | from 1390735889 → 1390735912
Menzelstraße | from 1397560973 → 21725780
Arnoldstraße | from 1397560973 → 25554018
Arnoldstraße | from 1397560973 → 21725787
Leiblstraße | from 339223284 → 21725780
Mauerstraße | from 339223284 → 1561711566
Mauerstraße | from 339223284 → 25554018
Arnoldstraße | from 21725787 → 1397560973
Arnoldstraße | from 21725787 → 1397560920
Uhdestraße | from 21725787 → 25284493
Arnoldstraße | from 1397560920 → 21725787
Rethelstraße | from 1397560920 → 25284499
Arnoldstraße | from 1397560920 → 1397560956
Ludwig-Richter-Straße | from 25284493 → 25284492
Uhdestraße | from 25284493 → 21725787
Uhdestraße | from 25284493 → 21725792
Spitzwegstraße | from 21725792 → 29809855
Spitzwegstraße | from 21725792 → 21725795
Uhdestraße | from 21725792 → 25284493
Uhdestraße | from 21725792 → 25553904
Spitzwegstraße | from 29809855 → 21725792
Raidweg | from 29809855 → 1397560859
Raidweg | from 29809855 → 33203794
Spitzwegstraße | from 29809855 → 31021118
Spitzwegstraße | from 21725795 → 21725792
Spitzwegstraße | from 21725795 → 29133977
Mauerstraße | from 21725795 → 1561711324
Mauerstraße | from 21725795 → 25284492
Haberkornstraße | from 25553904 → 1561711324
