Theodor-Heuss-Straße | from 21509749 → 265590631
Guido-Hauck-Straße | from 26769614 → 1431755347
Hundsbergstraße | from 26769614 → 26769605
Haller Straße | from 24953618 → 252470375
Armsündersteige | from 24953618 → 60954457
Haller Straße | from 24953618 → 12657650556
Armsündersteige | from 60954457 → 24953618
Krugstraße | from 60954457 → 254504951
Armsündersteige | from 60954457 → 254504961
Robert-Mayer-Straße | from 60954457 → 254506747
Haller Straße | from 12657650556 → 1561854865
Hiplerweg | from 12657650556 → 254504951
Haller Straße | from 12657650556 → 24953618
Südstraße | from 24957389 → 21740308
Wilhelmstraße | from 24957389 → 95089950
Wilhelmstraße | from 95089950 → 2287260690
Werderstraße | from 95089950 → 1305814520
Werderstraße | from 95089950 → 95090592
Robert-Bosch-Straße | from 24957395 → 255393402
Robert-Bosch-Straße | from 24957395 → 1390735986
Heinrich-Hertz-Straße | from 24957395 → 1390735912
Robert-Bosch-Straße | from 255393402 → 24957395
Robert-Bosch-Straße | from 255393402 → 1561763000
Robert-Bosch-Straße | from 1390735986 → 24957395
Robert-Bosch-Straße | from 1390735986 → 1293730936
Pilgramstraße | from 1390735986 → 1390735889
Heinrich-Hertz-Straße | from 1390735912 → 24957395
Kreuzäckerstraße | from 1390735912 → 1390736010
Kreuzäckerstraße | from 1390735912 → 1390735889
Neckartalstraße | from 25103218 → 25103319
['Wilhelm-Leuschner-Straße', 'Neckartalstraße'] | from 25103319 → 945643034
Neckartalstraße | from 25103319 → 26787241
Wilhelm-Leuschner-Straße | from 945643034 → 36670443
Unnamed | from 945643034 → 945643035
Neckartalstraße | from 26787241 → 712768139
Großgartacher Straße | from 25104062 → 30129066
Großgartacher Straße | from 25104062 → 1072721450
Großgartacher Straße | from 25104062 → 25104076
Großgartacher Straße | from 30129066 → 25104062
Hans-Baldung-Straße | from 25104076 → 25104190
Großgartacher Straße | from 25104076 → 25104062
Hans-Baldung-Straße | from 25104190 → 25104076
Heidelberger Straße | from 31271857 → 25293369
Sommerstraße | from 31271857 → 94913291
Sommerstraße | from 31271857 → 25104104
Heidelberger Straße | from 31271857 → 25104167
Hans-Multscher-Straße | from 1932923979 → 25104104
Flaischlenstraße | from 25104106 → 1549342252
Ludwigsburger Straße | from 25104106 → 21777191
Keilstraße | from 1549342252 → 25104170
Keilstraße | from 1549342252 → 1549342256
Friedrichstraße | from 1549334054 → 158703760
Friedrichstraße | from 1549334054 → 25104125
['Sickingenstraße', 'August-Hornung-Straße'] | from 1549334054 → 1549323360
Grünewaldstraße | from 25104167 → 38908430
Grünewaldstraße | from 25104167 → 25293384
Heidelberger Straße | from 25104167 → 29722636
Heidelberger Straße | from 25104167 → 31271857
Grünewaldstraße | from 38908430 → 25104167
Zellerstraße | from 38908430 → 38916856
Grünewaldstraße | from 38908430 → 441777005
Grünewaldstraße | from 25293384 → 1267408157
Grünewaldstraße | from 25293384 → 25104167
Blumenstraße | from 25293384 → 1159668611
Heidelberger Straße | from 29722636 → 25104167
Adolf-Alter-Straße | from 29722636 → 31137324
Heidelberger Straße | from 29722636 → 38909137
Allee | from 25185331 → 618877347
Schellengasse | from 618877347 → 96071339
Allee | from 618877347 → 2605784094
Kilianstraße | from 25185400 → 249173787
Allee | from 25185400 → 1561854863
['Klarastraße', 'Kilianstraße'] | from 25185400 → 266650288
Kilianstraße | from 249173787 → 25185400
Allee | from 249173787 → 249173790
Klarastraße | from 1561854863 → 266650288
['Am Wollhaus', 'Allee'] | from 1561854863 → 767305812
Siebeneichgasse | from 266650288 → 266650293
['Klarastraße', 'Kilianstraße'] | from 266650288 → 25185400
Klarastraße | from 266650288 → 1561854863
Am Wollhaus | from 25185475 → 25185499
Am Wollhaus | from 25185499 → 23743241
Cäcilienstraße | from 25185641 → 24345603
Cäcilienstraße | from 25185641 → 25185825
Wilhelmstraße | from 25185641 → 1561711738
Am Wollhaus | from 25185825 → 25232115
Wilhelmstraße | from 1561711738 → 25185863
Innsbrucker Straße | from 1561711738 → 25185835
Innsbrucker Straße | from 1561711738 → 25232074
Allee | from 25185781 → 249173790
Allee | from 25185781 → 25185400
Allee | from 249173790 → 25185781
Allee | from 249173790 → 249173792
Moltkestraße | from 249173790 → 750724901
Am Wollhaus | from 25232115 → 25185499
Am Wollhaus | from 25232115 → 1232804356
Bergstraße | from 25185853 → 25185835
Luisenstraße | from 25185863 → 25185853
Wilhelmstraße | from 25185863 → 395825923
Wilhelmstraße | from 395825923 → 24957389
Südstraße | from 395825923 → 395825897
Charlottenstraße | from 25231613 → 810668978
Charlottenstraße | from 25231613 → 25231622
Schmidbergstraße | from 25231613 → 29079311
Charlottenstraße | from 810668978 → 25231613
Herderstraße | from 810668978 → 1264106809
Charlottenstraße | from 810668978 → 130443458
Schlegelstraße | from 25231622 → 25231631
Charlottenstraße | from 25231622 → 25231613
Charlottenstraße | from 25231622 → 29079215
Schmidbergstraße | from 29079311 → 25232279
Stephanstraße | from 29079311 → 1252220995
Schmidbergstraße | from 29079311 → 25231613
Schlegelstraße | from 25231615 → 25231631
Heinrich-Heine-Straße | from 25231615 → 30220514
Heinrich-Heine-Straße | from 25231615 → 1279329306
Schlegelstraße | from 25231631 → 25231615
Schlegelstraße | from 25231631 → 25231622
Hauffstraße | from 25231631 → 1268504995
Heinrich-Heine-Straße | from 30220514 → 25231615
Wielandweg | from 30220514 → 289878497
Heinrich-Heine-Straße | from 30220514 → 1264106809
Heinrich-Heine-Straße | from 1279329306 → 25231615
Heinrich-Heine-Straße | from 1279329306 → 1274345585
Gellertstraße | from 1279329306 → 665145901
Schmidbergstraße | from 25231628 → 95107764
Stuttgarter Straße | from 25231628 → 86053974
Stuttgarter Straße | from 25231628 → 29079272
Schmidbergstraße | from 95107764 → 29079254
Schmidbergstraße | from 95107764 → 25231628
Grillparzerweg | from 95107764 → 29079256
Im Kohlpfad | from 86053974 → 86053975
Stuttgarter Straße | from 86053974 → 26736043
Stuttgarter Straße | from 86053974 → 25231628
Stuttgarter Straße | from 29079272 → 535173027
Schmollerstraße | from 29079272 → 29079258
Stuttgarter Straße | from 29079272 → 25231628
Zeppelinstraße | from 25231629 → 30220512
Gellertstraße | from 25231629 → 1561711629
Gellertstraße | from 25231629 → 1293730921
Liststraße | from 30220512 → 277794526
Zeppelinstraße | from 30220512 → 25231629
Liststraße | from 30220512 → 29709274
Eythstraße | from 1561711629 → 665145901
Eythstraße | from 1561711629 → 29709287
Gellertstraße | from 1561711629 → 25231629
Hauffstraße | from 1268504995 → 25231631
Hauffstraße | from 1268504995 → 29086775
Martin-Luther-Straße | from 1268504995 → 31305001
Cäcilienbrunnenstraße | from 25231647 → 25231977
Markgraf-Ludwig-Straße | from 25231977 → 247449898
Cäcilienbrunnenstraße | from 25231977 → 872536390
Cäcilienbrunnenstraße | from 25231977 → 25231647
Herrmannstraße | from 973992372 → 973992448
Herrmannstraße | from 973992372 → 25231693
Weststraße | from 973992372 → 425943545
Olgastraße | from 973953852 → 973953874
Weststraße | from 973953852 → 973953906
Olgastraße | from 973953852 → 25231693
Roßkampffstraße | from 25231953 → 1223644025
Roßkampffstraße | from 25231953 → 25231962
Mozartstraße | from 25231953 → 25231697
Roßkampffstraße | from 1223644025 → 25231953
Markgraf-Ludwig-Straße | from 247449898 → 25231977
Cäcilienbrunnenstraße | from 872536390 → 25231985
Cäcilienbrunnenstraße | from 872536390 → 25231977
Im Stahlbühl | from 872536390 → 1558997410
Cäcilienbrunnenstraße | from 25231985 → 872536390
Winzerstraße | from 25231985 → 1172494525
Cäcilienbrunnenstraße | from 25231985 → 26773946
Rieslingstraße | from 25231985 → 1558997436
Karl-Jäger-Straße | from 1172494525 → 1172494705
['Winzerstraße', 'Trollingerstraße'] | from 1172494525 → 1172494505
Winzerstraße | from 1172494525 → 25231985
Cäcilienbrunnenstraße | from 26773946 → 427964646
Cäcilienbrunnenstraße | from 26773946 → 25231985
Habrechtstraße | from 26773946 → 1172494705
Steinstraße | from 25232022 → 25232262
Schellingstraße | from 25232022 → 444565454
Steinstraße | from 25232022 → 26734116
Steinstraße | from 25232262 → 25232022
Ludwig-Pfau-Straße | from 25232262 → 395826055
Steinstraße | from 25232262 → 25232255
Schellingstraße | from 444565454 → 395826004
Schellingstraße | from 444565454 → 25232022
Uhlandstraße | from 26734116 → 1559022371
Steinstraße | from 26734116 → 25232022
Uhlandstraße | from 26734116 → 25232048
Uhlandstraße | from 25232048 → 26734116
Uhlandstraße | from 25232048 → 395826024
Innsbrucker Straße | from 25232048 → 31947181
Uhlandstraße | from 395826024 → 1559033334
Uhlandstraße | from 395826024 → 25232048
Südstraße | from 395826024 → 395825987
Solothurner Straße | from 31947181 → 395825987
Innsbrucker Straße | from 31947181 → 25232048
Innsbrucker Straße | from 31947181 → 25232074
Innsbrucker Straße | from 25232074 → 31947181
Urbanstraße | from 25232074 → 1561854848
Innsbrucker Straße | from 25232074 → 1561711738
Steinstraße | from 1561854848 → 26734116
Am Wollhaus | from 1561854848 → 25185825
Am Wollhaus | from 1232804356 → 23743145
['Am Wollhaus', 'Wollhausstraße'] | from 1232804356 → 23743141
Löwensteiner Straße | from 90465705 → 90465707
Löwensteiner Straße | from 90465705 → 25232216
Rothenburger Straße | from 90465705 → 373408489
Nördlinger Straße | from 373408489 → 90465723
Nördlinger Straße | from 373408489 → 25232216
Rothenburger Straße | from 373408489 → 90465705
Mönchseestraße | from 25232255 → 130426232
Mönchseestraße | from 25232255 → 394866897
Steinstraße | from 25232255 → 25232262
Scherweg | from 130426232 → 130426242
Mönchseestraße | from 130426232 → 94816107
Mönchseestraße | from 130426232 → 25232255
Mönchseestraße | from 394866897 → 25232255
Silcherplatz | from 394866897 → 394867308
Ludwig-Pfau-Straße | from 395826055 → 25232262
Südstraße | from 395826055 → 395826004
Ludwig-Pfau-Straße | from 25232263 → 95092975
Südstraße | from 25232263 → 30650477
Ludwig-Pfau-Straße | from 95092975 → 367693833
Ludwig-Pfau-Straße | from 95092975 → 25232263
Werderstraße | from 95092975 → 1236486137
['Gabelsbergerstraße', 'Werderstraße'] | from 95092975 → 30650477
['Gabelsbergerstraße', 'Werderstraße'] | from 30650477 → 95092975
Silcherplatz | from 30650477 → 410375954
Schmidbergstraße | from 25232279 → 29079311
Schmidbergstraße | from 25232279 → 1252220862
Eichendorffstraße | from 25232279 → 614228218
Schmidbergstraße | from 1252220862 → 1559022280
Schmidbergstraße | from 1252220862 → 25232279
Moosbruggerstraße | from 1252220862 → 25232281
Eichendorffstraße | from 614228218 → 1252220994
Eichendorffstraße | from 614228218 → 25232279
Jahnstraße | from 614228218 → 614228220
Schmollerstraße | from 25232281 → 1559022289
Moosbruggerstraße | from 25232281 → 1252220862
Schmollerstraße | from 25232281 → 130443458
Schmollerstraße | from 1559022289 → 25232281
Schmollerstraße | from 1559022289 → 1559022291
Stolzestraße | from 1559022289 → 1243680767
Charlottenstraße | from 130443458 → 395526645
Charlottenstraße | from 130443458 → 810668978
Schmollerstraße | from 130443458 → 25232281
Arnoldstraße | from 25554018 → 1397560973
Mauerstraße | from 25554018 → 25284492
Mauerstraße | from 25554018 → 339223284
Leiblstraße | from 1390736010 → 25284499
Leiblstraße | from 1390736010 → 1255917620
Kreuzäckerstraße | from 1390736010 → 1390735912
Karl-Marx-Straße | from 25293342 → 25293348
Karl-Marbach-Straße | from 25293342 → 26752752
['Kastellstraße', 'Steinäckerstraße'] | from 25293342 → 26752798
Steinäckerstraße | from 25293342 → 713844313
Hans-Sachs-Straße | from 25293348 → 254306908
Karl-Marx-Straße | from 25293348 → 25293342
Karl-Marx-Straße | from 25293348 → 94901223
Hans-Sachs-Straße | from 25293348 → 1551730885
August-Häußer-Straße | from 26752752 → 29051212
Karl-Marbach-Straße | from 26752752 → 25293342
August-Häußer-Straße | from 26752752 → 26752762
Hans-Sachs-Straße | from 26752798 → 1551730885
['Kastellstraße', 'Steinäckerstraße'] | from 26752798 → 25293342
Hans-Sachs-Straße | from 26752798 → 3900621041
Limesstraße | from 713844313 → 5610241292
Steinäckerstraße | from 713844313 → 25293342
Neckargartacher Straße | from 713844313 → 12657294311
Neckargartacher Straße | from 713844313 → 713583697
Hans-Sachs-Straße | from 254306908 → 25293348
Hans-Sachs-Straße | from 254306908 → 713583697
Vogelsangstraße | from 254306908 → 710971586
Vogelsangstraße | from 254306908 → 364358501
Elisabethenstraße | from 94901223 → 710971586
Karl-Marx-Straße | from 94901223 → 25293360
Karl-Marx-Straße | from 94901223 → 25293348
Hans-Sachs-Straße | from 1551730885 → 26752798
Hans-Sachs-Straße | from 1551730885 → 25293348
Kastellstraße | from 1551730885 → 1551730880
Landwehrstraße | from 25293360 → 254306911
Karl-Marx-Straße | from 25293360 → 1551723453
Karl-Marx-Straße | from 25293360 → 94901223
Landwehrstraße | from 254306911 → 29051219
Vogelsangstraße | from 254306911 → 34484298
Heidelberger Straße | from 25293369 → 709070255
Bunsenstraße | from 25293369 → 25293379
Heidelberger Straße | from 25293369 → 31271857
Bunsenstraße | from 25293379 → 25293369
Landwehrstraße | from 25293379 → 94905103
Landwehrstraße | from 25293379 → 94913291
Fürfelder Straße | from 94905103 → 94905095
Landwehrstraße | from 94905103 → 29051219
Landwehrstraße | from 94905103 → 25293379
Landwehrstraße | from 94913291 → 25293379
Sommerstraße | from 94913291 → 31271857
['Salzburger Straße', 'Landwehrstraße'] | from 94913291 → 94905116
Großgartacher Straße | from 1267408157 → 31137316
Großgartacher Straße | from 1267408157 → 6276931003
Grünewaldstraße | from 1267408157 → 25293384
Blumenstraße | from 1159668611 → 445027979
Blumenstraße | from 1159668611 → 25293384
Asternweg | from 1159668611 → 31137316
Rieckherstraße | from 25320516 → 25320573
Mauerstraße | from 25320516 → 1561711324
Mauerstraße | from 25320516 → 25320547
Rieckherstraße | from 25320573 → 25320516
Uhdestraße | from 25320573 → 25553904
Uhdestraße | from 25320573 → 25553895
Friedrich-Ackermann-Straße | from 25320547 → 25320542
Friedrich-Ackermann-Straße | from 25320547 → 25553895
Zwirnereistraße | from 25320547 → 255712661
Mauerstraße | from 25320547 → 25320516
Hechtstraße | from 25320524 → 1558545726
Strombergstraße | from 25320524 → 94648008
['Hechtstraße', 'Haagstraße'] | from 25320524 → 94651336
Maulbronner Straße | from 1558545726 → 25320579
Hechtstraße | from 1558545726 → 25320524
Hechtstraße | from 1558545726 → 1558545703
Maulbronner Straße | from 1558545726 → 25320539
Haagstraße | from 94651336 → 25320579
['Haagstraße', 'Hechtstraße'] | from 94651336 → 25320524
Michelsbergstraße | from 25320536 → 925768338
Klingenberger Straße | from 25320536 → 1559033314
Michelsbergstraße | from 925768338 → 1289349583
Michelsbergstraße | from 925768338 → 25320536
Strombergstraße | from 925768338 → 925768448
Hofstattstraße | from 1559033314 → 1559022274
Hofstattstraße | from 1559033314 → 1559033313
Klingenberger Straße | from 1559033314 → 21755151
Kappelstraße | from 25320539 → 1289271184
['Zabergäustraße', 'Kappelstraße'] | from 25320539 → 1558545703
Maulbronner Straße | from 25320539 → 1558545726
Kappelstraße | from 1289271184 → 25320539
Kappelstraße | from 1289271184 → 94648008
['Hofstattstraße', 'Maulbronner Straße'] | from 1289271184 → 1559022274
Hechtstraße | from 1558545703 → 1558545726
Zabergäustraße | from 1558545703 → 1558545735
['Zabergäustraße', 'Kappelstraße'] | from 1558545703 → 25320539
Friedrich-Ackermann-Straße | from 25320542 → 25320547
Kolpingstraße | from 25320542 → 25553957
Kolpingstraße | from 25320542 → 29049595
Haberkornstraße | from 25553957 → 1561711324
Kolpingstraße | from 25553957 → 25320542
Kolpingstraße | from 25553957 → 29133984
Hauptstraße | from 29049595 → 29049598
Horkheimer Straße | from 29049595 → 29049597
Kolpingstraße | from 29049595 → 25320542
Friedrich-Ackermann-Straße | from 25553895 → 25320547
Friedrich-Ackermann-Straße | from 25553895 → 95061955
Uhdestraße | from 25553895 → 25320573
Zwirnereistraße | from 255712661 → 33203801
Zwirnereistraße | from 255712661 → 25320554
Zwirnereistraße | from 255712661 → 25320547
Neue Straße | from 25320551 → 338803972
Zabergäustraße | from 25320551 → 1558545735
Neue Straße | from 25320551 → 1558545793
Zabergäustraße | from 1558545735 → 1558545703
Zabergäustraße | from 1558545735 → 25320551
Haagstraße | from 1558545735 → 25320579
Neue Straße | from 1558545793 → 1558545750
Neue Straße | from 1558545793 → 25320551
Zwirnereistraße | from 25320554 → 255712661
Kolpingstraße | from 1255974645 → 25320556
Kolpingstraße | from 1255974645 → 341365097
Brackenheimer Straße | from 1255974645 → 1255974649
Maulbronner Straße | from 25320579 → 1558545726
Haagstraße | from 25320579 → 1558545735
Haagstraße | from 25320579 → 94651336
Lutzstraße | from 25553853 → 614419674
Horkheimer Straße | from 25553853 → 262535384
Horkheimer Straße | from 25553853 → 1561711232
Lutzstraße | from 614419674 → 262537523
Lutzstraße | from 614419674 → 25553853
Quellenstraße | from 614419674 → 255722931
Horkheimer Straße | from 262535384 → 725549100
Horkheimer Straße | from 262535384 → 25553853
['Damaschkestraße', 'Alemannenstraße'] | from 262535384 → 272475480
Horkheimer Straße | from 1561711232 → 364639969
Klingenstraße | from 1561711232 → 255722958
Horkheimer Straße | from 1561711232 → 25553853
Lutzstraße | from 25553884 → 435173547
Gotenstraße | from 25553884 → 272475519
Lutzstraße | from 25553884 → 255713052
Lutzstraße | from 435173547 → 25553884
Lutzstraße | from 435173547 → 262537523
Gotenstraße | from 435173547 → 435173548
Mühläckerstraße | from 272475519 → 725562134
Mühläckerstraße | from 272475519 → 262537525
Gotenstraße | from 272475519 → 272475523
Gotenstraße | from 272475519 → 25553884
Lauffener Straße | from 255713052 → 25553928
Lutzstraße | from 255713052 → 25553884
Mauserstraße | from 255713052 → 725562134
Friedrich-Ackermann-Straße | from 95061955 → 25553895
Friedrich-Ackermann-Straße | from 95061955 → 95061585
Zwirnereistraße | from 95061955 → 33203801
Haberkornstraße | from 393988617 → 25553904
Lauffener Straße | from 25553928 → 255713052
Lauffener Straße | from 25553928 → 34567595
Lauffener Straße | from 25553928 → 9417411791
Lauffener Straße | from 34567595 → 34567597
Lauffener Straße | from 34567595 → 25553928
Am Melchiorsgraben | from 34567595 → 255722931
Lauffener Straße | from 9417411791 → 9417411783
Lauffener Straße | from 9417411791 → 25553928
Lauffener Straße | from 25553986 → 1102834034
Hüttenäckerweg | from 25553986 → 267474605
Lauffener Straße | from 25553986 → 9417411783
Lauffener Straße | from 1102834034 → 76704877
Lauffener Straße | from 1102834034 → 25553986
Hüttenäckerweg | from 267474605 → 25553986
Lauffener Straße | from 9417411783 → 25553986
Lauffener Straße | from 9417411783 → 9417411776
Heckenstraße | from 25711036 → 25711035
Eppinger Straße | from 25711036 → 25711042
Heckenstraße | from 25711036 → 25554023
Reinhold-Fyrnys-Straße | from 25554030 → 122286963
Heckenstraße | from 25554030 → 122286931
Heckenstraße | from 25554030 → 1559022369
Reinhold-Fyrnys-Straße | from 122286963 → 25554030
Reinhold-Fyrnys-Straße | from 122286963 → 287739389
Schafberg | from 122286963 → 122286931
Schafberg | from 122286931 → 122286963
['Fritz-Ulrich-Straße', 'Heckenstraße'] | from 122286931 → 274088223
Heckenstraße | from 122286931 → 25554030
Heckenstraße | from 1559022369 → 25554030
Heckenstraße | from 1559022369 → 25711035
Fröbelweg | from 1559022369 → 31930407
Eduard-Bader-Straße | from 25554056 → 31930823
Fritz-Ulrich-Straße | from 25554056 → 1559022317
Fritz-Ulrich-Straße | from 25554056 → 274088223
Anna-Collmer-Straße | from 31930823 → 94888572
Eduard-Bader-Straße | from 31930823 → 31930899
Eduard-Bader-Straße | from 31930823 → 25554056
Fritz-Ulrich-Straße | from 1559022317 → 94888572
Fritz-Ulrich-Straße | from 1559022317 → 25554056
Rombachstraße | from 1559022317 → 25711086
Martin-Niemöller-Straße | from 274088223 → 274088225
Fritz-Ulrich-Straße | from 274088223 → 25554056
['Fritz-Ulrich-Straße', 'Heckenstraße'] | from 274088223 → 122286931
Otto-Kirchheimer-Straße | from 25554071 → 31930637
Fritz-Ulrich-Straße | from 25554071 → 25554077
Fritz-Ulrich-Straße | from 25554071 → 94888572
Otto-Kirchheimer-Straße | from 31930637 → 31930923
['Otto-Kirchheimer-Straße', 'Eduard-Bader-Straße'] | from 31930637 → 31930923
Otto-Kirchheimer-Straße | from 31930637 → 25554071
Lortzingstraße | from 25554077 → 353894106
Fritz-Ulrich-Straße | from 25554077 → 25554086
Fritz-Ulrich-Straße | from 25554077 → 25554071
Anna-Collmer-Straße | from 94888572 → 31930823
Anna-Collmer-Straße | from 94888572 → 25711086
Fritz-Ulrich-Straße | from 94888572 → 25554071
Fritz-Ulrich-Straße | from 94888572 → 1559022317
Anna-Collmer-Straße | from 353894106 → 25711086
Lortzingstraße | from 353894106 → 25554077
Lortzingstraße | from 353894106 → 25711042
Fritz-Ulrich-Straße | from 25554086 → 25554091
Fritz-Ulrich-Straße | from 25554086 → 25554077
Ludwig-Essinger-Straße | from 25554086 → 288242219
Ludwig-Essinger-Straße | from 288242219 → 288242219
Ludwig-Essinger-Straße | from 288242219 → 288242219
Ludwig-Essinger-Straße | from 288242219 → 25554086
Brucknerstraße | from 1559022295 → 26784627
Heuchelbergstraße | from 1559022295 → 31224365
Ziegeleiweg | from 25711061 → 25711058
Glockenstraße | from 25711061 → 25554091
Glockenstraße | from 25711061 → 25554102
Stockheimer Straße | from 25554102 → 25711069
Glockenstraße | from 25554102 → 25711061
Im Jockele | from 25711069 → 1559022282
Stockheimer Straße | from 25711069 → 1559033325
Max-Planck-Straße | from 25554108 → 29869936
Max-Planck-Straße | from 25554108 → 95064971
Leiblstraße | from 25554108 → 29869942
Max-Planck-Straße | from 29869936 → 29869934
Max-Planck-Straße | from 29869936 → 29869934
Max-Planck-Straße | from 29869936 → 25554108
Max-Planck-Straße | from 95064971 → 25554108
Güldensteinstraße | from 95064971 → 373479088
Güldensteinstraße | from 95064971 → 266011394
Max-Planck-Straße | from 95064971 → 95065926
Raidweg | from 29869942 → 1397560859
Leiblstraße | from 29869942 → 1255917620
Leiblstraße | from 29869942 → 25554108
Charlottenstraße | from 25554133 → 409200413
Charlottenstraße | from 409200413 → 25554133
Staufenbergstraße | from 409200413 → 409200412
Charlottenstraße | from 409200413 → 409200408
Im Stahlbühl | from 25640172 → 1558997389
Im Stahlbühl | from 1558997389 → 427974447
Im Stahlbühl | from 1558997389 → 25640172
Wildecker Straße | from 1558997389 → 1558997414
Heckenstraße | from 25711035 → 25711036
Eduard-Hilger-Straße | from 25711035 → 203529010
Heckenstraße | from 25711035 → 1559022369
Eduard-Hilger-Straße | from 203529010 → 25711035
Lortzingstraße | from 25711042 → 353894106
Eppinger Straße | from 25711042 → 26784620
Eppinger Straße | from 25711042 → 25711036
Ziegeleiweg | from 25711058 → 25711061
Ludwigsburger Straße | from 25711058 → 1559033325
Ludwigsburger Straße | from 1559033325 → 1559033313
Stockheimer Straße | from 1559033325 → 25711069
Kappelstraße | from 1559033325 → 31223779
Glockenstraße | from 1559022282 → 1559022272
Im Jockele | from 1559022282 → 1559022281
Im Jockele | from 1559022282 → 25711069
Jäkleinstraße | from 25711079 → 260659004
Glockenstraße | from 25711079 → 160328072
Jäkleinstraße | from 25711079 → 2196092259
Jäkleinstraße | from 260659004 → 25711079
Jäkleinstraße | from 260659004 → 1559022230
Ludwigsburger Straße | from 260659004 → 260659007
Glockenstraße | from 160328072 → 25711079
Truchseßweg | from 160328072 → 160328051
Glockenstraße | from 160328072 → 1295205803
Jäkleinstraße | from 2196092259 → 25711082
Jäkleinstraße | from 2196092259 → 25711079
Ludwigsburger Straße | from 2196092259 → 260659007
Jäkleinstraße | from 25711082 → 2196092259
Ludwigsburger Straße | from 25711082 → 26742470
Ludwigsburger Straße | from 26742470 → 305264409
Ludwigsburger Straße | from 26742470 → 26742481
Anna-Collmer-Straße | from 25711086 → 353894106
Anna-Collmer-Straße | from 25711086 → 94888572
Rombachstraße | from 25711086 → 1559022317
Max-Planck-Straße | from 26044111 → 535171716
Unnamed | from 26044111 → 358054372
Max-Planck-Straße | from 26044111 → 358054325
Max-Planck-Straße | from 535171716 → 26044111
Stuttgarter Straße | from 535171716 → 535177321
Unnamed | from 358054372 → 29690195
Kauffmannstraße | from 26676315 → 825023822
Kauffmannstraße | from 26676315 → 26736047
Stuttgarter Straße | from 26676315 → 31099282
Kauffmannstraße | from 825023822 → 26676315
Happenbacher Straße | from 825023822 → 86050684
Stuttgarter Straße | from 825023822 → 2286678565
Kauffmannstraße | from 26736047 → 31017773
Kauffmannstraße | from 26736047 → 26676315
Richard-Wagner-Straße | from 26736047 → 1558997382
Herbert-Hoover-Straße | from 31099282 → 535177321
Stuttgarter Straße | from 31099282 → 1089195861
John-F.-Kennedy-Straße | from 31099282 → 485083472
Uhlandstraße | from 1559022371 → 26734116
Lerchenstraße | from 1559022371 → 1227193620
Uhlandstraße | from 1559022371 → 1561854855
Wollhausstraße | from 26734129 → 31091344
Keplerstraße | from 26734129 → 500708189
Wollhausstraße | from 26734129 → 1558997471
Wollhausstraße | from 31091344 → 26734129
Herbststraße | from 31091344 → 1225504444
Wollhausstraße | from 31091344 → 94819585
Herbststraße | from 31091344 → 1227193578
Keplerstraße | from 500708189 → 26734129
Mönchseestraße | from 1558997471 → 30654769
Mönchseestraße | from 1558997471 → 1227186314
Wollhausstraße | from 1558997471 → 26734129
Wollhausstraße | from 1558997471 → 1227124947
Blücherstraße | from 2276953315 → 2276953331
Blücherstraße | from 2276953315 → 535173027
Blücherstraße | from 2276953315 → 26736038
Karl-Jäger-Straße | from 1172494705 → 1172494525
Karl-Jäger-Straße | from 1172494705 → 26736038
Habrechtstraße | from 1172494705 → 26773946
Habrechtstraße | from 1172494705 → 1172494505
Blücherstraße | from 26736042 → 535173027
Stuttgarter Straße | from 26736042 → 29079272
Blücherstraße | from 535173027 → 26736042
Stuttgarter Straße | from 535173027 → 2276953331
Blücherstraße | from 535173027 → 2276953315
Stuttgarter Straße | from 26736043 → 86053974
Stuttgarter Straße | from 26736043 → 2286678565
Beethovenstraße | from 26736043 → 94828102
Stuttgarter Straße | from 2286678565 → 26676315
Stuttgarter Straße | from 2286678565 → 26736043
Platenweg | from 94828102 → 364663541
Beethovenstraße | from 94828102 → 1558997382
Beethovenstraße | from 94828102 → 26736043
Kauffmannstraße | from 31017773 → 26736047
Kauffmannstraße | from 31017773 → 130134553
Hohenstaufenstraße | from 31017773 → 31017767
Richard-Wagner-Straße | from 1558997382 → 364663554
Beethovenstraße | from 1558997382 → 31017767
Beethovenstraße | from 1558997382 → 94828102
Richard-Wagner-Straße | from 1558997382 → 26736047
Ludwigsburger Straße | from 26742481 → 254991314
Ludwigsburger Straße | from 26742481 → 26742483
Ludwigsburger Straße | from 254991314 → 2579866936
Ludwigsburger Straße | from 254991314 → 26742483
Ludwigsburger Straße | from 26742483 → 254991314
['Brackenheimer Straße', 'Ludwigsburger Straße'] | from 26742483 → 694707142
Brackenheimer Straße | from 694707142 → 1417061420
['Brackenheimer Straße', 'Ludwigsburger Straße'] | from 694707142 → 26742483
Brackenheimer Straße | from 694707142 → 1855476520
Karlsruher Straße | from 477431435 → 973953902
Waiblingerstraße | from 26749750 → 268096194
Waiblingerstraße | from 26749750 → 732715209
Alexanderstraße | from 26749750 → 1558997455
Waiblingerstraße | from 268096194 → 26749750
Metzer Straße | from 1558997455 → 731435471
Alexanderstraße | from 1558997455 → 26749756
Alexanderstraße | from 1558997455 → 26749750
Metzer Straße | from 1558997455 → 1131214711
Fichtestraße | from 26749756 → 30647825
Alexanderstraße | from 26749756 → 26749757
Alexanderstraße | from 26749756 → 1558997455
Fichtestraße | from 30647825 → 133108294
Maienfelser Weg | from 30647825 → 1131214711
Fichtestraße | from 30647825 → 26749756
Alexanderstraße | from 26749757 → 130135382
